step,ARH_Accuracy,Baseline_Accuracy,ARH_Dissonance,ARH_Nodes
591,100.0,48.5,0.0,5
592,100.0,48.5,0.0,5
593,100.0,48.5,0.0,5
594,100.0,49.0,0.0,5
595,100.0,49.5,0.0,5
596,100.0,49.5,0.0,5
597,100.0,49.5,0.0,5
598,100.0,49.5,0.0,5
599,100.0,49.5,0.0,5
600,100.0,50.0,0.0,5
601,100.0,50.5,0.0,5
602,100.0,50.0,0.0,5
603,100.0,50.0,0.0,5
604,100.0,50.0,0.0,5
605,100.0,50.0,0.0,5
606,100.0,50.0,0.0,5
607,100.0,50.0,0.0,5
608,100.0,50.5,0.0,5
609,100.0,50.5,0.0,5
610,100.0,50.5,0.0,5
611,100.0,50.5,0.0,5
612,100.0,50.0,0.0,5
613,100.0,49.5,0.0,5
614,100.0,49.5,0.0,5
615,100.0,49.0,0.0,5
616,100.0,49.0,0.0,5
617,100.0,48.5,0.0,5
618,100.0,48.5,0.0,5
619,100.0,48.5,0.0,5
620,100.0,48.5,0.0,5
621,100.0,48.0,0.0,5
622,100.0,48.0,0.0,5
623,100.0,48.5,0.0,5
624,100.0,48.0,0.0,5
625,100.0,48.5,0.0,5
626,100.0,49.0,0.0,5
627,100.0,49.0,0.0,5
628,100.0,48.5,0.0,5
629,100.0,48.0,0.0,5
630,100.0,47.5,0.0,5
631,100.0,47.5,0.0,5
632,100.0,48.0,0.0,5
633,100.0,48.0,0.0,5
634,100.0,47.5,0.0,5
635,100.0,48.0,0.0,5
636,100.0,47.5,0.0,5
637,100.0,47.0,0.0,5
638,100.0,47.0,0.0,5
639,100.0,47.0,0.0,5
640,100.0,47.0,0.0,5
641,100.0,47.0,0.0,5
642,100.0,46.5,0.0,5
643,100.0,46.5,0.0,5
644,100.0,47.0,0.0,5
645,100.0,47.5,0.0,5
646,100.0,48.0,0.0,5
647,100.0,48.0,0.0,5
648,100.0,48.5,0.0,5
649,100.0,49.0,0.0,5
650,100.0,49.0,0.0,5
651,100.0,48.5,0.0,5
652,100.0,48.5,0.0,5
653,100.0,48.0,0.0,5
654,100.0,48.0,0.0,5
655,100.0,47.5,0.0,5
656,100.0,47.5,0.0,5
657,100.0,47.0,0.0,5
658,100.0,47.0,0.0,5
659,100.0,46.5,0.0,5
660,100.0,46.0,0.0,5
661,100.0,46.0,0.0,5
662,100.0,46.0,0.0,5
663,100.0,46.0,0.0,5
664,100.0,46.0,0.0,5
665,100.0,46.0,0.0,5
666,100.0,46.0,0.0,5
667,100.0,46.0,0.0,5
668,100.0,45.5,0.0,5
669,100.0,45.5,0.0,5
670,100.0,45.0,0.0,5
671,100.0,44.5,0.0,5
672,100.0,44.0,0.0,5
673,100.0,44.0,0.0,5
674,100.0,44.0,0.0,5
675,100.0,44.0,0.0,5
676,100.0,44.5,0.0,5
677,100.0,44.5,0.0,5
678,100.0,44.5,0.0,5
679,100.0,44.5,0.0,5
680,100.0,44.5,0.0,5
681,100.0,44.5,0.0,5
682,100.0,44.5,0.0,5
683,100.0,44.5,0.0,5
684,100.0,44.5,0.0,5
685,100.0,44.5,0.0,5
686,100.0,44.5,0.0,5
687,100.0,45.0,0.0,5
688,100.0,45.5,0.0,5
689,100.0,45.0,0.0,5
690,100.0,45.0,0.0,5
691,100.0,44.5,0.0,5
692,100.0,44.5,0.0,5
693,100.0,45.0,0.0,5
694,100.0,45.0,0.0,5
695,100.0,45.0,0.0,5
696,100.0,44.5,0.0,5
697,100.0,45.0,0.0,5
698,100.0,45.0,0.0,5
699,100.0,45.0,0.0,5
700,100.0,45.0,0.0,5
701,100.0,44.5,0.0,5
702,100.0,44.0,0.0,5
703,100.0,44.5,0.0,5
704,100.0,44.0,0.0,5
705,100.0,43.5,0.0,5
706,100.0,43.5,0.0,5
707,100.0,43.0,0.0,5
708,100.0,43.0,0.0,5
709,100.0,43.0,0.0,5
710,100.0,43.0,0.0,5
711,100.0,42.5,0.0,5
712,100.0,43.0,0.0,5
713,100.0,43.0,0.0,5
714,100.0,43.5,0.0,5
715,100.0,43.5,0.0,5
716,100.0,44.0,0.0,5
717,100.0,44.5,0.0,5
718,100.0,45.0,0.0,5
719,100.0,45.0,0.0,5
720,100.0,45.5,0.0,5
721,100.0,46.0,0.0,5
722,100.0,45.5,0.0,5
723,100.0,45.5,0.0,5
724,100.0,46.0,0.0,5
725,100.0,45.5,0.0,5
726,100.0,45.5,0.0,5
727,100.0,46.0,0.0,5
728,100.0,46.0,0.0,5
729,100.0,45.5,0.0,5
730,100.0,45.0,0.0,5
731,100.0,45.0,0.0,5
732,100.0,45.0,0.0,5
733,100.0,45.5,0.0,5
734,100.0,45.0,0.0,5
735,100.0,45.0,0.0,5
736,100.0,45.0,0.0,5
737,100.0,45.0,0.0,5
738,100.0,45.0,0.0,5
739,100.0,45.5,0.0,5
740,100.0,45.5,0.0,5
741,100.0,45.5,0.0,5
742,100.0,45.5,0.0,5
743,100.0,45.5,0.0,5
744,100.0,45.0,0.0,5
745,100.0,45.0,0.0,5
746,100.0,45.0,0.0,5
747,100.0,45.5,0.0,5
748,100.0,45.5,0.0,5
749,100.0,45.5,0.0,5
750,100.0,46.0,0.0,5
751,100.0,46.0,0.0,5
752,100.0,46.0,0.0,5
753,100.0,46.0,0.0,5
754,100.0,46.5,0.0,5
755,100.0,46.5,0.0,5
756,100.0,47.0,0.0,5
757,100.0,47.0,0.0,5
758,100.0,47.5,0.0,5
759,100.0,47.5,0.0,5
760,100.0,47.5,0.0,5
761,100.0,48.0,0.0,5
762,100.0,47.5,0.0,5
763,100.0,47.0,0.0,5
764,100.0,47.5,0.0,5
765,100.0,48.0,0.0,5
766,100.0,48.0,0.0,5
767,100.0,48.0,0.0,5
768,100.0,47.5,0.0,5
769,100.0,48.0,0.0,5
770,100.0,48.5,0.0,5
771,100.0,48.5,0.0,5
772,100.0,48.0,0.0,5
773,100.0,48.5,0.0,5
774,100.0,48.5,0.0,5
775,100.0,48.5,0.0,5
776,100.0,48.0,0.0,5
777,100.0,48.0,0.0,5
778,100.0,48.0,0.0,5
779,100.0,48.0,0.0,5
780,100.0,47.5,0.0,5
781,100.0,47.5,0.0,5
782,100.0,47.5,0.0,5
783,100.0,47.5,0.0,5
784,100.0,47.5,0.0,5
785,100.0,47.5,0.0,5
786,100.0,47.0,0.0,5
787,100.0,47.0,0.0,5
788,100.0,47.0,0.0,5
789,100.0,47.0,0.0,5
790,100.0,47.0,0.0,5
791,100.0,46.5,0.0,5
792,100.0,47.0,0.0,5
793,100.0,46.5,0.0,5
794,100.0,46.5,0.0,5
795,100.0,46.5,0.0,5
796,100.0,46.5,0.0,5
797,100.0,47.0,0.0,5
798,100.0,47.0,0.0,5
799,100.0,47.5,0.0,5
800,100.0,47.0,0.0,5
801,100.0,47.0,0.0,5
802,100.0,47.5,0.0,5
803,100.0,47.0,0.0,5
804,100.0,47.5,0.0,5
805,100.0,48.0,0.0,5
806,100.0,48.0,0.0,5
807,100.0,48.0,0.0,5
808,100.0,48.0,0.0,5
809,100.0,48.0,0.0,5
810,100.0,48.0,0.0,5
811,100.0,47.5,0.0,5
812,100.0,48.0,0.0,5
813,100.0,48.0,0.0,5
814,100.0,48.5,0.0,5
815,100.0,49.0,0.0,5
816,100.0,49.0,0.0,5
817,100.0,49.0,0.0,5
818,100.0,49.0,0.0,5
819,100.0,49.5,0.0,5
820,100.0,49.5,0.0,5
821,100.0,49.5,0.0,5
822,100.0,49.5,0.0,5
823,100.0,49.0,0.0,5
824,100.0,49.0,0.0,5
825,100.0,49.0,0.0,5
826,100.0,48.5,0.0,5
827,100.0,48.5,0.0,5
828,100.0,49.0,0.0,5
829,100.0,49.0,0.0,5
830,100.0,49.5,0.0,5
831,100.0,49.5,0.0,5
832,100.0,49.5,0.0,5
833,100.0,50.0,0.0,5
834,100.0,50.0,0.0,5
835,100.0,50.0,0.0,5
836,100.0,50.5,0.0,5
837,100.0,51.0,0.0,5
838,100.0,51.5,0.0,5
839,100.0,51.0,0.0,5
840,100.0,51.0,0.0,5
841,100.0,51.0,0.0,5
