scenario,mode,batch_tokens,hidden_dim,expansion_dim,rank,basis_size,dtype,trials,avg_ms,std_ms,min_ms,max_ms,ci95_ms
swiglu,dynamic_ephemeral,1,8192,32768,32,8,float16,3,0.6905974820256233,0.12481878444493645,0.6185103207826614,0.8347257971763611,0.14124575124644365
swiglu,dynamic_ephemeral,1,8192,32768,64,8,float16,3,1.0287962233026822,0.06915977228686829,0.9795462712645531,1.107862964272499,0.07826164976795659
swiglu,dynamic_ephemeral,8,2048,8192,16,8,float16,3,0.4808776080608368,0.11365694336713217,0.39397571235895157,0.6094986572861671,0.12861493902263627
swiglu,dynamic_ephemeral,8,2048,8192,32,8,float16,3,0.4397153854370117,0.026013310662974246,0.4116596654057503,0.4630357027053833,0.029436832151011828
swiglu,dynamic_ephemeral,8,2048,8192,64,8,float16,3,0.48870307703812915,0.030879292374294102,0.4535410553216934,0.5114080384373665,0.03494320881878036
swiglu,dynamic_ephemeral,8,4096,16384,16,8,float16,3,0.6934452801942825,0.16089385593730166,0.599932111799717,0.8792281150817871,0.18206853763126163
swiglu,dynamic_ephemeral,8,4096,16384,32,8,float16,3,0.6108175963163376,0.02977513326892042,0.5780745297670364,0.6362708285450935,0.033693735167617644
swiglu,dynamic_ephemeral,8,4096,16384,64,8,float16,3,0.779559463262558,0.019817759180677085,0.7634146139025688,0.8016765117645264,0.022425905651490222
swiglu,dynamic_ephemeral,8,8192,32768,16,8,float16,3,0.7711105048656464,0.02980892059634785,0.7375197485089302,0.7944110780954361,0.03373196912788508
swiglu,dynamic_ephemeral,8,8192,32768,32,8,float16,3,0.6857652217149734,0.07711525941328477,0.6070900708436966,0.7612196728587151,0.08726413093054006
swiglu,dynamic_ephemeral,8,8192,32768,64,8,float16,3,1.0945091644922893,0.07089904616138931,1.0223399847745895,1.1640658602118492,0.08022982343766902
swiglu,dynamic_ephemeral,32,2048,8192,16,8,float16,3,0.43174394716819126,0.005503254792686946,0.42571406811475754,0.4364956170320511,0.006227519046514737
swiglu,dynamic_ephemeral,32,2048,8192,32,8,float16,3,0.430886447429657,0.05476352721317622,0.36791935563087463,0.4674101248383522,0.06197076486946935
swiglu,dynamic_ephemeral,32,2048,8192,64,8,float16,3,0.5116534729798635,0.038049063839372434,0.4711514338850975,0.546649657189846,0.043056569010146865
swiglu,dynamic_ephemeral,32,4096,16384,16,8,float16,3,0.623273973663648,0.03219999869002475,0.5880866199731827,0.6512708961963654,0.036437728706719116
swiglu,dynamic_ephemeral,32,4096,16384,32,8,float16,3,0.717381201684475,0.15112757717339212,0.5759105086326599,0.8765986189246178,0.17101695283154641
swiglu,dynamic_ephemeral,32,4096,16384,64,8,float16,3,0.8043118442098299,0.055730499364419296,0.7530119270086288,0.8636089041829109,0.0630649968678347
swiglu,dynamic_ephemeral,32,8192,32768,16,8,float16,3,0.6459879378477732,0.06091554010813937,0.5980486050248146,0.7145341485738754,0.0689324228193608
