scenario,mode,batch_tokens,hidden_dim,expansion_dim,rank,basis_size,dtype,trials,avg_ms,std_ms,min_ms,max_ms,ci95_ms
swiglu,dynamic_ephemeral,8,8192,32768,32,8,float16,3,0.634936181207498,0.05870050966992167,0.59389378875494,0.7021734490990639,0.06642587991661512
swiglu,dynamic_ephemeral,8,8192,32768,64,8,float16,3,1.0117422168453534,0.06767257485465979,0.9657332673668861,1.0894455015659332,0.07657872744582214
swiglu,static_ephemeral,1,2048,8192,16,0,float16,3,0.12748229006926218,0.010098326009777843,0.11622011661529541,0.13573039323091507,0.011427331630615281
swiglu,static_ephemeral,1,2048,8192,32,0,float16,3,0.1253641520937284,0.006176834667847879,0.11841487139463425,0.13022944331169128,0.006989746430114701
swiglu,static_ephemeral,1,2048,8192,64,0,float16,3,0.12549900760253271,0.008560312859229336,0.1200743019580841,0.13536736369132996,0.009686905909902007
swiglu,static_ephemeral,1,4096,16384,16,0,float16,3,0.12061931192874908,0.0038008786720605606,0.11624321341514587,0.12309718877077103,0.004301099115963693
swiglu,static_ephemeral,1,4096,16384,32,0,float16,3,0.12570594747861225,0.004844106009604839,0.12160204350948334,0.13104937970638275,0.005481621980911738
swiglu,static_ephemeral,1,4096,16384,64,0,float16,3,0.12311295916636786,0.0037692941868190627,0.11917613446712494,0.12668874114751816,0.00426535790629316
swiglu,static_ephemeral,1,8192,32768,16,0,float16,3,0.12853710601727167,0.008880267289928986,0.12107118964195251,0.1383572816848755,0.010048968432220005
swiglu,static_ephemeral,1,8192,32768,32,0,float16,3,0.1304246485233307,0.006403241155970799,0.12317020446062088,0.13528931885957718,0.00724594948996823
swiglu,static_ephemeral,1,8192,32768,64,0,float16,3,0.13174892713626227,0.011998949983401851,0.12351814657449722,0.1455165445804596,0.013578090125703433
swiglu,static_ephemeral,8,2048,8192,16,0,float16,3,0.11570211499929428,0.00439013364191854,0.11081229895353317,0.1193048432469368,0.004967903886282599
swiglu,static_ephemeral,8,2048,8192,32,0,float16,3,0.11931173503398895,0.0007862356454767782,0.11854618787765503,0.12011714279651642,0.0008897093886624943
swiglu,static_ephemeral,8,2048,8192,64,0,float16,3,0.12067854404449463,0.0024801513181918864,0.11835955083370209,0.12329332530498506,0.002806555421130618
swiglu,static_ephemeral,8,4096,16384,16,0,float16,3,0.1255792255202929,0.0058005233692547285,0.12076012790203094,0.13201721012592316,0.006563910108212668
swiglu,static_ephemeral,8,4096,16384,32,0,float16,3,0.12532689919074377,0.006173881749842706,0.12022946029901505,0.1321917399764061,0.006986404888824544
swiglu,static_ephemeral,8,4096,16384,64,0,float16,3,0.1268899068236351,0.006163444352390977,0.1223970204591751,0.13391636312007904,0.0069745938617368905
swiglu,static_ephemeral,8,8192,32768,16,0,float16,3,0.1357890044649442,0.007501861530835884,0.1271408051252365,0.14054253697395325,0.008489155477532736
swiglu,static_ephemeral,8,8192,32768,32,0,float16,3,0.1297249769171079,0.0077657279602732715,0.12084059417247772,0.13521946966648102,0.008787748451501666
swiglu,static_ephemeral,8,8192,32768,64,0,float16,3,0.13614961256583533,0.010936258052455468,0.12354832142591476,0.1431625336408615,0.01237554099980426
