device,mode,batch_tokens,hidden_dim,expansion_dim,rank,dtype,trials,avg_ms,std_ms,min_ms,max_ms,ci95_ms,tflops,bytes_gb,arithmetic_intensity
npu:0,ephemeral,8,4096,16384,32,float16,5,0.03647219389677048,0.006492858212668458,0.032741762697696686,0.048048049211502075,0.0056912411540634275,0.28750011665540326,0.001638912,6.398000624804749
npu:0,ephemeral,8,4096,16384,64,float16,5,0.03373973071575165,0.0011100063849259427,0.03215521574020386,0.0351758673787117,0.0009729634950040566,0.6215674978760067,0.002950144,7.1086428323498785
npu:0,ephemeral,8,4096,16384,128,float16,5,0.035759247839450836,0.0030796525905830447,0.03307554870843887,0.04085041582584381,0.0026994345155337903,1.172928474007974,0.005572608,7.526644615950018
npu:0,ephemeral,32,1024,4096,16,float16,5,0.03265451639890671,0.001251890598820136,0.03142841160297394,0.034525059163570404,0.0010973304919070588,0.16055604486537534,0.000492544,10.644490644490645
npu:0,ephemeral,32,1024,4096,32,float16,5,0.032493956387043,0.0014682080751001452,0.031201913952827457,0.03474876284599304,0.001286941119926912,0.32269877743115355,0.000657408,15.950155763239875
npu:0,ephemeral,32,1024,4096,64,float16,5,0.03246292471885681,0.0013692218340270038,0.031033344566822055,0.03408845514059067,0.0012001758540872353,0.6460144975113171,0.000987136,21.244813278008298
npu:0,ephemeral,32,1024,4096,128,float16,5,0.03339003771543503,0.001282548197849552,0.031827762722969055,0.03503374755382538,0.0011242030622860874,1.256154316369976,0.001646592,25.4726368159204
npu:0,ephemeral,32,2048,8192,16,float16,5,0.03246959298849106,0.001580688141182956,0.02973359078168869,0.03363173454999924,0.0013855342448858467,0.32294091286320437,0.000984064,10.655567117585848
npu:0,ephemeral,32,2048,8192,32,float16,5,0.03220513463020325,0.0011488448822630905,0.031234882771968838,0.033656321465969086,0.001007006938918461,0.6511856025694761,0.001312768,15.975039001560063
npu:0,ephemeral,32,2048,8192,64,float16,5,0.032572485506534576,0.0018083631728751921,0.03083720803260803,0.03555119037628174,0.0015851002091620042,1.2876831272696565,0.001970176,21.28898128898129
npu:0,ephemeral,32,2048,8192,128,float16,5,0.03315117210149765,0.0007148010758534442,0.032283179461956024,0.034197792410850525,0.0006265507680313277,2.530410681805435,0.003284992,25.536159600997507
npu:0,ephemeral,32,4096,16384,16,float16,5,0.032799094915390015,0.0016608402268914809,0.03171414136886597,0.035679154098033905,0.001455790645661446,0.6393932532010124,0.001967104,10.661114003123373
npu:0,ephemeral,32,4096,16384,32,float16,5,0.03296397626399994,0.001110113928827442,0.031792931258678436,0.034635886549949646,0.0009730577613899894,1.2723901893415122,0.002623488,15.987509758001561
npu:0,ephemeral,32,4096,16384,64,float16,5,0.03383025527000427,0.0021976076718839945,0.031931325793266296,0.0373324379324913,0.0019262880557454046,2.479617115818158,0.003936256,21.311134235171696
npu:0,ephemeral,32,4096,16384,128,float16,5,0.03794655203819275,0.005222723222073875,0.03439616411924362,0.0467425212264061,0.004577918747671775,4.421275477970682,0.006561792,25.56803995006242
